nAcid
ALogP
ALogp2
AMR
nN
nO
nS
nP
nF
nCl
nBr
nI
ATS0m
AATS0m
AATS1m
AATS7m
AATS8m
AATS8e
AATS7s
AATS8s
ATSC0c
ATSC2c
ATSC3c
ATSC4c
ATSC5c
ATSC6c
ATSC7c
ATSC8c
ATSC1m
ATSC2m
ATSC3m
ATSC4m
ATSC5m
ATSC6m
ATSC7m
ATSC8m
ATSC1v
ATSC2v
ATSC3v
ATSC4v
ATSC5v
ATSC6v
ATSC7v
ATSC8v
ATSC1e
ATSC2e
ATSC3e
ATSC4e
ATSC5e
ATSC6e
ATSC7e
ATSC8e
ATSC1i
ATSC2i
ATSC4i
ATSC7i
AATSC0c
AATSC7c
AATSC8c
AATSC4m
AATSC5m
AATSC6m
AATSC7m
AATSC8m
AATSC0v
AATSC7v
AATSC8v
AATSC6e
AATSC7e
AATSC8e
AATSC0p
AATSC8p
AATSC6i
AATSC7i
AATSC8i
MATS1c
MATS6m
MATS7m
MATS8m
MATS1s
MATS3s
GATS1c
GATS2c
GATS3c
GATS4c
GATS5c
GATS6c
GATS7c
GATS8c
GATS1m
GATS2m
GATS3m
GATS4m
GATS5m
GATS6m
GATS7m
GATS8m
GATS2v
GATS3v
GATS4v
GATS5v
GATS6v
GATS7v
GATS8v
GATS1e
GATS3e
GATS8e
GATS6i
GATS7i
GATS1s
SM1_DzZ
VE1_DzZ
VE3_DzZ
VR1_DzZ
VE1_Dzv
VR1_Dzv
SM1_Dzs
VE1_Dzs
VE3_Dzs
nBase
BCUTc-1l
BCUTc-1h
BCUTp-1l
BCUTp-1h
nBondsD
nBondsT
C2SP1
C1SP2
C3SP2
C1SP3
C2SP3
C3SP3
C4SP3
SCH-3
SCH-5
SCH-6
SC-3
SC-4
SC-5
SPC-4
SP-0
CrippenLogP
VE1_Dt
VE3_Dt
VR1_Dt
nHBd
nwHBd
nHBint2
nHBint3
nHBint4
nHBint5
nHBint6
nHBint7
nHBint8
nHBint9
nHBint10
nHsOH
nHdNH
nHsSH
nHsNH2
nHssNH
nHsNH3p
nHssNH2p
nHsssNHp
nHtCH
nHdCH2
nHCsatu
nHmisc
nsssCH
nddC
ndsN
nsssN
nssssNp
ndO
nssO
nsOm
nsssP
ndS
nssS
ndssS
nddssS
SsI
minHBd
minHBa
minwHBa
minHBint2
minHBint3
minHBint4
minHBint5
minHBint6
minHBint7
minHBint8
minHBint9
minHBint10
minHsOH
minHdsCH
minHCsats
minHCsatu
minsCH3
minssCH2
mindsCH
minsssCH
mindO
minssO
minsF
maxsI
hmax
hmin
ETA_dAlpha_A
ETA_dAlpha_B
ETA_dEpsilon_B
ETA_dEpsilon_D
ETA_dPsi_B
ETA_Shape_P
ETA_Shape_Y
FMF
IC1
ZMIC1
nAtomLC
nAtomP
nAtomLAC
MDEC-22
MDEC-33
MDEO-11
MDEO-12
MDEN-11
MDEN-12
MDEN-13
MDEN-22
MDEN-23
MDEN-33
MLFER_A
MLFER_BH
MLFER_S
PetitjeanNumber
n4Ring
n5Ring
n6Ring
n7Ring
n8Ring
n9Ring
n10Ring
n11Ring
n12Ring
nG12Ring
nFRing
nF5Ring
nF6Ring
nF7Ring
nF8Ring
nF9Ring
nF10Ring
nF11Ring
nF12Ring
nHeteroRing
n3HeteroRing
n4HeteroRing
n6HeteroRing
n8HeteroRing
n10HeteroRing
n11HeteroRing
nF10HeteroRing
LipinskiFailures
JGI2
JGI3
JGI4
JGI5
JGI6
JGI7
JGI8
JGI9
JGI10
VE1_D
VR1_D
WTPT-1
WTPT-2
WTPT-3
XLogP
Class
